Index,Bitstamp_BTCUSDT,Exmo_BTCUSDT,Coinbase_BTCUSDT,Bitstamp_XRPUSDT,Exmo_XRPUSDT,Coinbase_XRPUSDT
28/04/2023 01:00,29516.53,29720.18,29433.73,0.4679,0.4694,0.3023
28/04/2023 02:00,29395.94,29728.66,29504.24,0.4741,0.4773,0.3023
28/04/2023 03:00,29419.11,29624.56,29491.68,0.4767,0.4803,0.3023
28/04/2023 04:00,29502.06,29574.6,29477.92,0.4737,0.4765,0.3023
28/04/2023 05:00,29475.92,29552.24,29505.58,0.4758,0.4789,0.3023
28/04/2023 06:00,29467.37,29549.18,29259.64,0.4717,0.478,0.3023
28/04/2023 07:00,29488.64,29601.31,29214.32,0.4713,0.48,0.3023
28/04/2023 08:00,29253.33,29471.25,29274.71,0.4707,0.4771,0.3023
28/04/2023 09:00,29199.33,29521.35,29247.77,0.4701,0.4781,0.3023
28/04/2023 10:00,29261.17,29456.49,29243.36,0.4703,0.4766,0.3023
28/04/2023 11:00,29243.19,29419.1,29044.23,0.4682,0.4731,0.3023
28/04/2023 12:00,29228.63,29481.55,29111.32,0.4673,0.4735,0.3023
28/04/2023 13:00,29029.13,29553.32,29158.78,0.4696,0.4773,0.3023
28/04/2023 14:00,29093.85,29529.4,29288.5,0.471,0.4768,0.3023
28/04/2023 15:00,29146.71,29514.36,29256.36,0.474,0.4783,0.3023
28/04/2023 16:00,29272.58,29583.67,29261.62,0.476,0.483,0.3023
28/04/2023 17:00,29238.44,29672.23,29338.34,0.4754,0.4778,0.3023
28/04/2023 18:00,29243.2,29689.64,29359.81,0.4772,0.4802,0.3023
28/04/2023 19:00,29324.43,29698.64,29355.81,0.4788,0.4842,0.3023
28/04/2023 20:00,29338.32,29727.53,29367.89,0.4774,0.4823,0.3023
28/04/2023 21:00,29327.86,29724.35,29338.63,0.4801,0.4861,0.3023
28/04/2023 22:00,29348.29,29721.45,29288.44,0.4793,0.4861,0.3023
29/04/2023 23:00,29310.95,29727.11,29305.01,0.4791,0.488,0.3023
29/04/2023 00:00,29246.95,29718.37,29402.95,0.4813,0.4903,0.3023
29/04/2023 01:00,29273.88,29729.66,29369.27,0.4809,0.4863,0.3023
29/04/2023 02:00,29376.2,29744.51,29397.65,0.4813,0.4862,0.3023
29/04/2023 03:00,29346.84,29739.56,29380.49,0.4794,0.4842,0.3023
29/04/2023 04:00,29370.63,29760.44,29351.32,0.4783,0.4843,0.3023
29/04/2023 05:00,29356.19,29786.24,29365.46,0.4788,0.4852,0.3023
29/04/2023 06:00,29327.47,29845,29335.8,0.4781,0.4844,0.3023
29/04/2023 07:00,29344.86,29837.14,29324.05,0.4784,0.4863,0.3023
29/04/2023 08:00,29313.89,29700.6,29288.6,0.4781,0.4838,0.3023
29/04/2023 09:00,29299.89,29737.89,29352.39,0.4809,0.4842,0.3023
29/04/2023 10:00,29268.43,29709,29303.61,0.4793,0.4852,0.3023
29/04/2023 11:00,29331.13,29629.63,29404.69,0.4813,0.4877,0.3023
29/04/2023 12:00,29282.46,29676.97,29355.86,0.4804,0.4867,0.3023
29/04/2023 13:00,29384.35,29790.47,29289.69,0.4786,0.4867,0.3023
29/04/2023 14:00,29334.96,29818.02,29305.28,0.4791,0.4878,0.3023
29/04/2023 15:00,29273.24,29252.95,29179.2,0.4755,0.4832,0.3023
29/04/2023 16:00,29282.07,29363.11,29200.03,0.4779,0.4814,0.3023
29/04/2023 17:00,29154.72,29461.98,29259.04,0.4789,0.4836,0.3023
29/04/2023 18:00,29177.54,29457.04,29239.78,0.4782,0.4846,0.3023
29/04/2023 19:00,29239.88,29511.57,29251.29,0.479,0.4829,0.3023
29/04/2023 20:00,29220.84,29565.55,29219.38,0.4785,0.4818,0.3023
29/04/2023 21:00,29229.06,29529.26,29249.35,0.4783,0.4838,0.3023
29/04/2023 22:00,29205.73,29562.93,29158.96,0.4748,0.4813,0.3023
30/04/2023 23:00,29229.63,29563.2,29116.31,0.4746,0.4814,0.3023
30/04/2023 00:00,29135.77,29584.69,29196.93,0.4763,0.4847,0.3023
30/04/2023 01:00,29097.74,29506.11,29197.94,0.4747,0.4827,0.3023
30/04/2023 02:00,29177.03,29586.53,29228.1,0.4757,0.4816,0.3023
30/04/2023 03:00,29178.93,29651.65,29276.48,0.4769,0.4836,0.3023
30/04/2023 04:00,29210.9,29656.49,29293.16,0.4766,0.4852,0.3023
30/04/2023 05:00,29257.77,29674.57,29283.13,0.4758,0.4815,0.3023
30/04/2023 06:00,29271.13,29678.9,29289.84,0.4763,0.4834,0.3023
30/04/2023 07:00,29266.41,29689.37,29273.05,0.4768,0.4834,0.3023
30/04/2023 08:00,29270.02,29634.95,29241.19,0.4756,0.4815,0.3023
30/04/2023 09:00,29258.97,29635.29,29216.74,0.4749,0.4813,0.3023
30/04/2023 10:00,29222.29,29628.45,29256.23,0.4748,0.481,0.3023
30/04/2023 11:00,29197.38,29573.71,29316.63,0.4765,0.4835,0.3023
30/04/2023 12:00,29236.46,29649.99,29413.96,0.4783,0.4836,0.3023
30/04/2023 13:00,29292.11,29919.49,29670.67,0.4792,0.4815,0.3023
30/04/2023 14:00,29393.86,29929.58,29725.61,0.4798,0.4818,0.3023
30/04/2023 15:00,29660.15,29902.02,29659.58,0.479,0.4823,0.3023
30/04/2023 16:00,29718.57,29800.01,29596.03,0.4788,0.4828,0.3023
30/04/2023 17:00,29644.72,29372,29384.31,0.4759,0.4809,0.3023
30/04/2023 18:00,29579.27,29364.59,29354.57,0.4732,0.476,0.3023
30/04/2023 19:00,29360.74,29403.92,29430.36,0.4741,0.4754,0.3023
30/04/2023 20:00,29330.02,29434.67,29389.59,0.4733,0.4768,0.3023
30/04/2023 21:00,29410.72,29295.49,29247.14,0.4706,0.4769,0.3023
30/04/2023 22:00,29379.11,29348.08,29327.39,0.4711,0.4773,0.3023
01/05/2023 23:00,29225.27,28939.68,28520.23,0.4634,0.4701,0.3023
01/05/2023 00:00,29315.32,29044.23,28569.06,0.4604,0.4684,0.3023
01/05/2023 01:00,28507.94,28997.32,28573.97,0.4648,0.4694,0.3023
01/05/2023 02:00,28549.27,28953.56,28567.89,0.4651,0.471,0.3023
01/05/2023 03:00,28561.34,28873.93,28497.78,0.4651,0.4722,0.3023
01/05/2023 04:00,28554.36,28956.67,28604.85,0.4629,0.4691,0.3023
01/05/2023 05:00,28482.78,28919.7,28640.55,0.463,0.4698,0.3023
01/05/2023 06:00,28595.05,28929.57,28578.07,0.4641,0.4725,0.3023
01/05/2023 07:00,28629.35,28940.01,28531.42,0.4648,0.4707,0.3023
01/05/2023 08:00,28575.36,28943.49,28562.04,0.4646,0.4715,0.3023
01/05/2023 09:00,28524.09,28940.01,28531.25,0.4648,0.4715,0.3023
01/05/2023 10:00,28550.93,28984.36,28605.83,0.466,0.4722,0.3023
01/05/2023 11:00,28524.73,28973.82,28463.25,0.4632,0.4718,0.3023
01/05/2023 12:00,28594.5,28967.73,28477.49,0.4623,0.4717,0.3023
01/05/2023 13:00,28458.27,28793.01,28179.14,0.46,0.4685,0.3023
01/05/2023 14:00,28473,28834.26,28363.27,0.4602,0.4684,0.3023
01/05/2023 15:00,28170.33,28801.36,28278.37,0.4588,0.4672,0.3023
01/05/2023 16:00,28358.77,28815.62,28168.27,0.4599,0.4706,0.3023
01/05/2023 17:00,28277.5,28779.31,27833.06,0.4597,0.4719,0.3023
01/05/2023 18:00,28176.44,28500.03,27677.7,0.4599,0.4737,0.3023
01/05/2023 19:00,27843.37,28551.5,27995.77,0.4627,0.473,0.3023
01/05/2023 20:00,27680.86,28570.03,28029.48,0.4636,0.4753,0.3023
01/05/2023 21:00,27984.98,28677.39,28077.27,0.4648,0.4757,0.3023
01/05/2023 22:00,28020.21,28697.77,28057.08,0.4614,0.4744,0.3023
02/05/2023 23:00,28068.41,28587.54,27947.01,0.4605,0.4748,0.3023
02/05/2023 00:00,28051.7,28637.92,28011.34,0.4598,0.4749,0.3023
02/05/2023 01:00,27939.56,28655.26,28045.5,0.4633,0.4742,0.3023
02/05/2023 02:00,28008.25,28615.84,27935.11,0.4632,0.4747,0.3023
02/05/2023 03:00,28042.88,28673.49,28000.97,0.4644,0.4763,0.3023
02/05/2023 04:00,27926.42,28661.93,27998.08,0.4643,0.4766,0.3023
02/05/2023 05:00,27999.5,28710.77,28060.7,0.4616,0.4749,0.3023
02/05/2023 06:00,27998.48,28725.55,28034.43,0.463,0.4748,0.3023
02/05/2023 07:00,28057.6,28622.12,27981.44,0.4628,0.4745,0.3023
02/05/2023 08:00,28029,28679.99,28018.81,0.4604,0.4718,0.3023
02/05/2023 09:00,27982.43,28760.93,28087.14,0.4592,0.4731,0.3023
02/05/2023 10:00,28017.4,28753.02,28109.75,0.4619,0.4723,0.3023
02/05/2023 11:00,28084.09,28784.32,28011.34,0.4608,0.4732,0.3023
02/05/2023 12:00,28107.31,29090.15,28380.45,0.4619,0.475,0.3023
02/05/2023 13:00,28006.92,29245.59,28546.14,0.4623,0.4749,0.3023
02/05/2023 14:00,28367.97,29299.97,28480.89,0.4588,0.4719,0.3023
02/05/2023 15:00,28540.09,29290.92,28596.24,0.4612,0.4706,0.3023
02/05/2023 16:00,28465.81,29300.2,28744.55,0.4639,0.4725,0.3023
02/05/2023 17:00,28580.1,29243.38,28708.6,0.4635,0.4734,0.3023
02/05/2023 18:00,28718.68,29221.12,28695.08,0.4642,0.4733,0.3023
02/05/2023 19:00,28683.01,29220.53,28684.71,0.4653,0.4726,0.3023
02/05/2023 20:00,28675.38,29260.48,28754.29,0.4653,0.4741,0.3023
02/05/2023 21:00,28657.17,29244.17,28684.4,0.4648,0.4735,0.3023
02/05/2023 22:00,28736.7,29235.86,28511.8,0.4627,0.4726,0.3023
03/05/2023 23:00,28669.05,29276.73,28551.78,0.461,0.4727,0.3023
03/05/2023 00:00,28504.83,29256,28526.47,0.4634,0.4727,0.3023
03/05/2023 01:00,28543.19,29262.78,28532.91,0.4617,0.472,0.3023
03/05/2023 02:00,28507.78,29248.1,28534.17,0.4596,0.4722,0.3023
03/05/2023 03:00,28521.18,29201.4,28487.36,0.4571,0.4724,0.3023
03/05/2023 04:00,28514.27,29276.99,28611.26,0.4598,0.4728,0.3023
